Run,Path,Type,Verismith Time,C-Reduce Time,Original Size,Verismith Size,C-Reduce Size,C-Reduce Size (unadj.)
0,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_4_13/fuzz_70][0.8/5/4_13/70]],MS,24.228676396,546.138,515,8,23,16
1,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_0_21/fuzz_12][0.8/5/0_21/12]],MS,48.020800025,549.916,675,12,40,29
2,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_1_25/fuzz_8][0.8/5/1_25/8]],C,31.025951033,225.177,1063,462,--,30
3,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_1_27/fuzz_49][0.8/5/1_27/47]],MS,239.19471845,2954.062,1193,9,63,53
4,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_1_15/fuzz_45][0.8/5/1_15/45]],MS,78.85903502,2565.887,1155,19,66,52
5,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_6_26/fuzz_78][0.8/5/6_26/78]],MS,73.373059156,4355.297,1179,11,65,51
6,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_1_12/fuzz_33][0.8/5/1_12/33]],MS,396.931663908,1695.4,723,265,59,(47)
7,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_6_26/fuzz_38][0.8/5/6_26/38]],C,32.882851417,289.044,1299,405,69,52
8,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_2_21/fuzz_40][0.8/5/2_21/40]],C,49.630976912,136.239,672,75,33,20
9,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_4_30/fuzz_18][0.8/5/4_30/18]],C,4.096207305,194.167,534,49,33,26
10,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_2_38/fuzz_100][0.8/5/2_38/100]],C,10.081659552,352.996,1132,234,--,52
11,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_4_0/fuzz_67][0.8/5/4_0/67]],MS,28.596337771,2355.947,707,9,32,23
12,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_0_39/fuzz_27][0.8/5/0_39/27]],MS,121.520180855,5091.577,1153,9,60,47
13,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_0_0/fuzz_96][0.8/5/0_0/96]],MS,392.16407163,1611.466,498,56,64,44
14,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_2_1/fuzz_60][0.8/5/2_1/60]],MS,9.194543707,89.294,31,12,15,10
15,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_2_2/fuzz_6][0.8/5/2_2/6]],MS,1106.024588047,6825.607,977,443,--,137
16,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_4_36/fuzz_44][0.8/5/4_36/44]],C,23.921349163,313.808,1261,191,60,43
17,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_4_23/fuzz_93][0.8/5/4_23/93]],MS,88.786871352,13896.513,1237,9,74,57
18,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_4_41/fuzz_39][0.8/5/4_41/39]],MS,166.899571358,9126.388,1193,9,64,49
19,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_1_0/fuzz_37][0.8/5/1_0/37]],MS,142.222511227,4550.126,1289,120,90,74
20,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_6_12/fuzz_61][0.8/5/6_12/61]],MS,73.07548465,5553.653,1016,9,43,32
21,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_6_39/fuzz_78][0.8/5/6_39/78]],C,10.894472949,285.255,996,99,54,42
22,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_6_19/fuzz_3][0.8/5/6_19/3]],C,16.908927877,221.02,883,115,63,44
23,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_5_2/fuzz_67][0.8/5/5_2/67]],MS,71.661578111,1096.045,469,9,27,20
24,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_4_18/fuzz_25][0.8/5/4_18/25]],C,18.313146602,137.885,411,32,60,40
25,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_6_43/fuzz_94][0.8/5/6_43/94]],MS,47.691798645,340.533,410,26,16,11
26,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_4_23/fuzz_34][0.8/5/4_23/34]],C,1.4856776,223.37,1004,12,34,28
27,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_0_8/fuzz_25][0.8/5/0_8/25]],C,30.366253517,213.942,946,230,54,40
28,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_1_45/fuzz_24][0.8/5/1_45/24]],MS,153.32273806,2814.821,730,87,68,58
29,[[file:/mnt/data/projects/verismith/runs/yosys_0.8/run_5/medium_1_11/fuzz_98][0.8/5/1_11/98]],MS,89.500623124,10592.831,1301,9,85,72
,,,119.362544180633,2640.1468,888.4,101.166666666667,52.3703703703704,43.1724137931034
,,,211.862857785319,3520.23126770141,336.102365359127,136.523607490788,20.1000347266216,24.5226847829824
,,,48.8258884685,822.9805,986.5,29,60,43
